94,Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA;James Carter;Elley Duhé;FAST BOY,148629,edm
95,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,300840,piano
96,THE LONELIEST,Måneskin,247067,indie-pop
97,Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,154983,dance
98,Otro Atardecer,Bad Bunny;The Marías,244444,latino
99,Words (feat. Zara Larsson),Alesso;Zara Larsson,142677,edm
100,Los Cachos,Piso 21;Manuel Turizo,212304,latino
101,In the End,Linkin Park,216880,alternative
102,Levitating (feat. DaBaby),Dua Lipa;DaBaby,203064,dance
103,Highway to Hell,AC/DC,208400,hard-rock
104,Say You Won't Let Go,James Arthur,211466,pop
105,PUNTO 40,Rauw Alejandro;Baby Rasta,190654,latino
106,MEMORIAS,Mora;Jhayco,228750,latino
107,positions,Ariana Grande,172324,dance
108,Back In Black,AC/DC,255493,hard-rock
109,Clean White Noise - Loopable with no fade,White Noise Baby Sleep;White Noise for Babies,90228,sleep
110,Somewhere Only We Know,Keane,237146,piano
111,Everybody Dies In Their Nightmares,XXXTENTACION,95466,emo
112,House of Memories,Panic! At The Disco,208706,rock
113,Yet To Come,BTS,193593,k-pop
114,Lost in the Fire (feat. The Weeknd),Gesaffelstein;The Weeknd,202093,club
115,MAMIII,Becky G;KAROL G,226088,reggae
116,Pink Venom,BLACKPINK,186964,k-pop
117,LOVE DIVE,IVE,177186,k-pop
118,Me Fui de Vacaciones,Bad Bunny,180929,latino
119,Shinunoga E-Wa,Fujii Kaze,185573,j-pop
120,Bored,Billie Eilish,180933,electro
121,Pink + White,Frank Ocean,184516,soul
122,Easy On Me,Adele,224694,british
123,Stan,Eminem;Dido,404106,hip-hop
124,Yo No Soy Celoso,Bad Bunny,230704,latino
125,Hymn for the Weekend,Coldplay,258266,pop
126,Stressed Out,Twenty One Pilots,202333,rock
127,Hotel California - 2013 Remaster,Eagles,391376,country
128,Yo Voy (feat. Daddy Yankee),Zion & Lennox,232019,latin
129,Seven Nation Army,The White Stripes,232106,alt-rock
130,Still D.R.E.,Dr. Dre;Snoop Dogg,270586,funk
131,Apocalypse,Cigarettes After Sex,290616,ambient
132,Everlong,Foo Fighters,250546,alt-rock
133,Hips Don't Lie (feat. Wyclef Jean),Shakira;Wyclef Jean,218093,dance
134,Bamba (feat. Aitch & BIA),Luciano;Aitch;BIA,203255,german
135,Sweet Child O' Mine,Guns N' Roses,354520,hard-rock
136,I'm Still Standing,Elton John,183440,piano
137,7 rings,Ariana Grande,178626,dance
138,Rock and A Hard Place,Bailey Zimmerman,207540,country
139,Let Me Love You,DJ Snake;Justin Bieber,205946,dance
140,Need to Know,Doja Cat,210560,dance
141,God's Plan,Drake,198973,hip-hop
142,Deep Down (feat. Never Dull),Alok;Ella Eyre;Kenny Dope;Never Dull,165752,electro
143,Love Yourself,Justin Bieber,233720,pop
144,Hot In It,Tiësto;Charli XCX,129817,edm
145,HUMBLE.,Kendrick Lamar,177000,hip-hop
146,Feel Good Inc.,Gorillaz,222640,alternative
147,goosebumps,Travis Scott,243836,hip-hop
148,La Santa,Bad Bunny;Daddy Yankee,206420,latino
149,Leave The Door Open,Bruno Mars;Anderson .Paak;Silk Sonic,242096,dance
150,Enséñame a Bailar,Bad Bunny,176000,latino
151,You Right,Doja Cat;The Weeknd,186173,dance
152,Treat You Better,Shawn Mendes,187973,dance
153,Jocelyn Flores,XXXTENTACION,119133,emo
154,Aguacero,Bad Bunny,210989,latino
155,YKWIM?,Yot Club,212750,indie-pop
156,Run BTS,BTS,204939,k-pop
157,That's What I Like,Bruno Mars,206693,dance
158,Diles,Bad Bunny;Ozuna;Farruko;Arcangel;Ñengo Flow;DJ Luian;Mambo Kingz,286040,latino
159,Butter,BTS,164952,k-pop
160,Take Me To Church,Hozier,241688,singer-songwriter
161,A Tu Merced,Bad Bunny,175918,latino
162,Safe And Sound,Capital Cities,192789,rock
163,Agosto,Bad Bunny,139041,latino
164,El Apagón,Bad Bunny,201816,latino
165,FEARLESS,LE SSERAFIM,168437,k-pop
166,SAD!,XXXTENTACION,166605,emo
167,Cold Heart - PNAU Remix,Elton John;Dua Lipa;PNAU,202735,rock
168,Party en el Barrio (feat. Duki),Paulo Londra;Duki,236143,latino
169,The Night We Met,Lord Huron,208211,folk
170,Counting Stars,OneRepublic,257266,piano
171,You Get Me So High,The Neighbourhood,153000,alt-rock
172,Volando - Remix,Mora;Bad Bunny;Sech,273474,latino
173,Volví,Aventura;Bad Bunny,230125,latino
174,Desesperados,Rauw Alejandro;Chencho Corleone,224996,latino
175,Besos Moja2,Wisin & Yandel;ROSALÍA,229064,latino
176,N95,Kendrick Lamar,195950,hip-hop
177,DÁKITI,Bad Bunny;Jhayco,205090,latin
178,Fuck Love (feat. Trippie Redd),XXXTENTACION;Trippie Redd,146520,emo
179,Uptown Funk (feat. Bruno Mars),Mark Ronson;Bruno Mars,269666,dance
180,KICK BACK,Kenshi Yonezu,193495,anime
181,Moth To A Flame (with The Weeknd),Swedish House Mafia;The Weeknd,234000,dance
182,Where Did You Go? (feat. MNEK),Jax Jones;MNEK,177689,edm
183,Little Dark Age,MGMT,299960,alt-rock
184,Streets,Doja Cat,226986,dance
185,No Lie,Sean Paul;Dua Lipa,221176,dance
186,Attention,Charlie Puth,208786,dance
187,Don't Stop Believin',Journey,250986,hard-rock
188,Mask Off,Future,204600,hip-hop
189,MONTERO (Call Me By Your Name),Lil Nas X,137704,hip-hop
190,SUPERMODEL,Måneskin,148064,indie-pop
191,Lovers Rock,TV Girl,213920,indie-pop
192,Washing Machine Heart,Mitski,128198,indie-pop
193,Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,228482,dance
194,For My Hand (feat. Ed Sheeran),Burna Boy;Ed Sheeran,159123,dance
195,Chop Suey!,System Of A Down,210240,alternative
196,Happier,Marshmello;Bastille,214289,dance
197,Formula,Labrinth,91869,indie-pop
198,Summer High,AP Dhillon,177391,hip-hop
199,Numb,Linkin Park,185586,alternative
200,Too Good At Goodbyes,Sam Smith,201000,dance
